STATE/UT,YEAR,TYPE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Himachal Pradesh,2002,Road Accidents,81,124,267,352,255,345,497,360,124,267,352,255,3279
Himachal Pradesh,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2002,Other Railway Accidents,0,0,0,0,0,0,1,0,0,0,0,0,1
Himachal Pradesh,2003,Road Accidents,87,85,320,484,334,377,402,270,85,320,484,334,3582
Himachal Pradesh,2003,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2003,Other Railway Accidents,6,1,2,4,1,2,0,0,1,2,4,1,24
Himachal Pradesh,2004,Road Accidents,135,141,323,451,358,453,357,297,141,323,451,358,3788
Himachal Pradesh,2004,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2004,Other Railway Accidents,2,2,6,4,1,1,1,1,2,6,4,1,31
Himachal Pradesh,2005,Road Accidents,123,88,268,395,397,396,444,290,88,268,395,397,3549
Himachal Pradesh,2005,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2005,Other Railway Accidents,2,1,1,2,1,1,1,1,1,1,2,1,15
Himachal Pradesh,2006,Road Accidents,112,120,314,495,444,425,307,199,120,314,495,444,3789
Himachal Pradesh,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2006,Other Railway Accidents,2,3,2,3,2,2,2,2,3,2,3,2,28
Himachal Pradesh,2007,Road Accidents,120,151,273,309,436,443,513,337,151,273,309,436,3751
Himachal Pradesh,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2007,Other Railway Accidents,4,2,3,1,2,1,4,0,2,3,1,2,25
Himachal Pradesh,2008,Road Accidents,103,106,219,255,297,414,382,206,106,219,255,297,2859
Himachal Pradesh,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2008,Other Railway Accidents,1,2,4,2,3,5,3,2,2,4,2,3,33
Himachal Pradesh,2009,Road Accidents,135,153,322,366,500,653,566,383,153,322,366,500,4419
Himachal Pradesh,2009,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2009,Other Railway Accidents,0,0,4,2,3,6,0,0,0,4,2,3,24
Himachal Pradesh,2010,Road Accidents,153,192,372,360,396,633,626,345,192,372,360,396,4397
Himachal Pradesh,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2010,Other Railway Accidents,0,0,3,5,3,2,3,4,0,3,5,3,31
Himachal Pradesh,2011,Road Accidents,100,124,353,465,472,693,577,315,124,353,465,472,4513
Himachal Pradesh,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2011,Other Railway Accidents,2,2,4,3,5,5,4,2,2,4,3,5,41
Himachal Pradesh,2012,Road Accidents,114,128,332,459,434,539,558,335,128,332,459,434,4252
Himachal Pradesh,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2012,Other Railway Accidents,0,1,3,1,2,4,3,0,1,3,1,2,21
Jammu & Kashmir,2001,Road Accidents,337,352,658,1099,1062,864,386,253,352,658,1099,1062,8182
Jammu & Kashmir,2001,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2001,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2002,Road Accidents,154,180,582,1293,1118,1001,641,404,180,582,1293,1118,8546
Jammu & Kashmir,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2002,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2003,Road Accidents,298,304,639,1038,1292,1177,795,345,304,639,1038,1292,9161
Jammu & Kashmir,2003,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2003,Other Railway Accidents,0,20,0,0,24,0,0,0,20,0,0,24,88
Jammu & Kashmir,2004,Road Accidents,333,239,958,1677,1441,966,501,166,239,958,1677,1441,10596
Jammu & Kashmir,2004,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2004,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2005,Road Accidents,188,396,811,1233,1057,1173,532,279,396,811,1233,1057,9166
Jammu & Kashmir,2005,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2005,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2006,Road Accidents,350,235,541,1110,1061,1116,728,468,235,541,1110,1061,8556
Jammu & Kashmir,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2006,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2007,Road Accidents,326,418,697,1049,1099,982,842,461,418,697,1049,1099,9137
Jammu & Kashmir,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2007,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2008,Road Accidents,261,368,631,999,1139,892,675,461,368,631,999,1139,8563
Jammu & Kashmir,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2008,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2009,Road Accidents,298,386,676,1178,1240,1023,802,409,386,676,1178,1240,9492
Jammu & Kashmir,2009,Rail-Road Accidents,2,6,15,11,7,4,4,8,6,15,11,7,96
Jammu & Kashmir,2009,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2010,Road Accidents,239,287,699,1173,1265,1099,796,584,287,699,1173,1265,9566
Jammu & Kashmir,2010,Rail-Road Accidents,0,0,5,3,6,4,0,0,0,5,3,6,32
Jammu & Kashmir,2010,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2011,Road Accidents,299,298,681,1424,1458,1244,753,508,298,681,1424,1458,10526
Jammu & Kashmir,2011,Rail-Road Accidents,0,3,13,7,11,5,6,5,3,13,7,11,84
Jammu & Kashmir,2011,Other Railway Accidents,1,0,2,4,4,2,4,3,0,2,4,4,30
Jammu & Kashmir,2012,Road Accidents,285,347,642,1306,1444,1420,748,445,347,642,1306,1444,10376
Jammu & Kashmir,2012,Rail-Road Accidents,3,4,7,6,5,7,7,5,4,7,6,5,66
Jammu & Kashmir,2012,Other Railway Accidents,0,0,1,1,5,2,2,4,0,1,1,5,22
Jharkhand,2001,Road Accidents,103,104,117,135,109,120,179,128,104,117,135,109,1460
Jharkhand,2001,Rail-Road Accidents,21,2,6,5,0,2,0,0,2,6,5,0,49
Jharkhand,2001,Other Railway Accidents,50,21,11,10,27,11,15,7,21,11,10,27,221
Jharkhand,2002,Road Accidents,101,99,109,100,110,112,138,111,99,109,100,110,1298
Jharkhand,2002,Rail-Road Accidents,2,3,4,3,1,3,1,1,3,4,3,1,29
Jharkhand,2002,Other Railway Accidents,44,19,8,17,20,12,18,4,19,8,17,20,206
Jharkhand,2003,Road Accidents,101,110,130,140,135,145,0,119,110,130,140,135,1395
Jharkhand,2003,Rail-Road Accidents,2,3,4,3,1,3,0,2,3,4,3,1,29
Jharkhand,2003,Other Railway Accidents,44,15,13,20,25,20,0,5,15,13,20,25,215
Jharkhand,2004,Road Accidents,151,168,199,175,178,172,85,167,168,199,175,178,2015
Jharkhand,2004,Rail-Road Accidents,2,3,4,3,1,3,1,1,3,4,3,1,29
Jharkhand,2004,Other Railway Accidents,44,19,11,17,20,16,5,10,19,11,17,20,209
Jharkhand,2005,Road Accidents,93,289,405,451,384,516,377,224,289,405,451,384,4268
Jharkhand,2005,Rail-Road Accidents,0,20,78,105,118,123,79,20,20,78,105,118,864
Jharkhand,2005,Other Railway Accidents,0,0,0,0,1,2,1,0,0,0,0,1,5
Jharkhand,2006,Road Accidents,207,322,681,706,741,684,513,447,322,681,706,741,6751
Jharkhand,2006,Rail-Road Accidents,106,98,22,46,51,53,75,0,98,22,46,51,668
Jharkhand,2006,Other Railway Accidents,1,2,0,2,0,0,0,0,2,0,2,0,9
Jharkhand,2007,Road Accidents,250,416,683,702,850,816,521,266,416,683,702,850,7155
Jharkhand,2007,Rail-Road Accidents,8,6,6,5,2,2,3,2,6,6,5,2,53
Jharkhand,2007,Other Railway Accidents,65,79,79,80,85,75,67,56,79,79,80,85,909
Jharkhand,2008,Road Accidents,283,345,414,489,474,472,477,305,345,414,489,474,4981
Jharkhand,2008,Rail-Road Accidents,1,1,2,1,1,0,0,0,1,2,1,1,11
Jharkhand,2008,Other Railway Accidents,51,58,77,77,62,59,33,60,58,77,77,62,751
Jharkhand,2009,Road Accidents,326,446,681,744,658,670,524,487,446,681,744,658,7065
Jharkhand,2009,Rail-Road Accidents,0,0,0,8,0,4,0,1,0,0,8,0,21
Jharkhand,2009,Other Railway Accidents,51,1,62,89,93,96,93,58,1,62,89,93,788
Jharkhand,2010,Road Accidents,247,379,706,766,602,648,557,323,379,706,766,602,6681
Jharkhand,2010,Rail-Road Accidents,0,0,0,1,0,0,0,0,0,0,1,0,2
Jharkhand,2010,Other Railway Accidents,34,32,46,58,36,34,22,27,32,46,58,36,461
Jharkhand,2011,Road Accidents,285,355,585,640,582,581,512,361,355,585,640,582,6063
Jharkhand,2011,Rail-Road Accidents,0,2,2,2,1,2,1,0,2,2,2,1,17
Jharkhand,2011,Other Railway Accidents,58,57,112,86,95,83,84,46,57,112,86,95,971
Jharkhand,2012,Road Accidents,351,494,779,705,542,708,626,420,494,779,705,542,7145
Jharkhand,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2012,Other Railway Accidents,84,71,104,90,87,57,55,54,71,104,90,87,954
Karnataka,2001,Road Accidents,2426,2925,3775,5210,4799,5131,4807,3787,2925,3775,5210,4799,49569
Karnataka,2001,Rail-Road Accidents,8,60,10,2,0,0,50,10,60,10,2,0,212
Karnataka,2001,Other Railway Accidents,80,90,48,55,128,39,42,81,90,48,55,128,884
Karnataka,2002,Road Accidents,2663,3482,4123,5865,5414,5315,5141,3658,3482,4123,5865,5414,54545
Karnataka,2002,Rail-Road Accidents,6,40,10,5,10,5,40,7,40,10,5,10,188
Karnataka,2002,Other Railway Accidents,80,101,21,16,115,84,83,100,101,21,16,115,853
Karnataka,2003,Road Accidents,2719,3398,4095,5735,5696,6154,5687,4027,3398,4095,5735,5696,56435
Karnataka,2003,Rail-Road Accidents,6,40,10,10,10,10,40,21,40,10,10,10,217
Karnataka,2003,Other Railway Accidents,75,101,17,10,110,82,82,102,101,17,10,110,817
Karnataka,2004,Road Accidents,2576,3106,4140,5955,5888,6400,6371,4315,3106,4140,5955,5888,57840
Karnataka,2004,Rail-Road Accidents,6,10,10,10,10,10,40,22,10,10,10,10,158
Karnataka,2004,Other Railway Accidents,90,101,21,32,111,100,100,100,101,21,32,111,920
Karnataka,2005,Road Accidents,2949,3198,4665,6193,6095,6658,6377,4138,3198,4665,6193,6095,60424
Karnataka,2005,Rail-Road Accidents,8,3,5,5,9,2,4,9,3,5,5,9,67
Karnataka,2005,Other Railway Accidents,103,149,148,132,191,136,82,201,149,148,132,191,1762
Karnataka,2006,Road Accidents,3264,3702,4738,6871,6425,6709,6839,4732,3702,4738,6871,6425,65016
Karnataka,2006,Rail-Road Accidents,2,3,5,5,8,2,4,7,3,5,5,8,57
Karnataka,2006,Other Railway Accidents,103,139,158,145,200,137,84,202,139,158,145,200,1810
Karnataka,2007,Road Accidents,3239,3590,5350,7142,7486,7193,7263,5071,3590,5350,7142,7486,69902
Karnataka,2007,Rail-Road Accidents,6,3,8,2,3,3,2,2,3,8,2,3,45
Karnataka,2007,Other Railway Accidents,188,175,202,191,152,149,106,69,175,202,191,152,1952
Karnataka,2008,Road Accidents,3181,3802,5471,6533,7183,7051,7159,5872,3802,5471,6533,7183,69241
Karnataka,2008,Rail-Road Accidents,0,1,0,5,7,10,2,2,1,0,5,7,40
Karnataka,2008,Other Railway Accidents,19,184,227,205,195,153,221,207,184,227,205,195,2222
Karnataka,2009,Road Accidents,3107,3750,5001,6399,6733,7066,7258,5876,3750,5001,6399,6733,67073
Karnataka,2009,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2009,Other Railway Accidents,39,182,221,214,192,142,214,237,182,221,214,192,2250
Karnataka,2010,Road Accidents,3481,5270,5268,6922,6451,6951,7207,4670,5270,5268,6922,6451,70131
Karnataka,2010,Rail-Road Accidents,1,5,4,3,6,6,4,1,5,4,3,6,48
Karnataka,2010,Other Railway Accidents,38,39,300,512,260,200,134,72,39,300,512,260,2666
Karnataka,2011,Road Accidents,3468,3807,4657,6606,6568,7376,7501,4713,3807,4657,6606,6568,66334
Karnataka,2011,Rail-Road Accidents,2,3,0,7,7,4,1,4,3,0,7,7,45
Karnataka,2011,Other Railway Accidents,41,52,349,482,328,176,129,91,52,349,482,328,2859
Karnataka,2012,Road Accidents,3085,2802,4472,6842,6753,7802,7431,5261,2802,4472,6842,6753,65317
Karnataka,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2012,Other Railway Accidents,206,212,206,202,198,213,216,226,212,206,202,198,2497
Kerala,2001,Road Accidents,892,1610,4820,6684,6119,7610,5960,2744,1610,4820,6684,6119,55672
Kerala,2001,Rail-Road Accidents,6,2,0,0,0,2,2,1,2,0,0,0,15
Kerala,2001,Other Railway Accidents,23,25,46,39,40,39,35,35,25,46,39,40,432
Kerala,2002,Road Accidents,669,1187,4685,6397,6322,7579,5296,2399,1187,4685,6397,6322,53125
Kerala,2002,Rail-Road Accidents,3,9,7,7,6,8,5,5,9,7,7,6,79
Kerala,2002,Other Railway Accidents,17,38,46,35,32,36,68,44,38,46,35,32,467
Kerala,2003,Road Accidents,748,1312,3882,6152,4914,7019,5616,2304,1312,3882,6152,4914,48207
Kerala,2003,Rail-Road Accidents,4,10,10,5,6,4,5,3,10,10,5,6,78
Kerala,2003,Other Railway Accidents,11,22,28,27,12,19,18,19,22,28,27,12,245
Kerala,2004,Road Accidents,1439,2124,5143,8107,6328,8252,6534,3176,2124,5143,8107,6328,62805
Kerala,2004,Rail-Road Accidents,1,0,5,4,1,5,1,0,0,5,4,1,27
Kerala,2004,Other Railway Accidents,18,17,37,36,30,45,43,35,17,37,36,30,381
Kerala,2005,Road Accidents,1205,1763,4977,7620,6244,8601,7961,3924,1763,4977,7620,6244,62899
Kerala,2005,Rail-Road Accidents,0,1,1,11,12,8,2,0,1,1,11,12,60
Kerala,2005,Other Railway Accidents,20,14,35,28,20,37,35,30,14,35,28,20,316
Kerala,2006,Road Accidents,1553,1877,4438,7140,6446,8461,7587,4226,1877,4438,7140,6446,61629
Kerala,2006,Rail-Road Accidents,24,22,29,27,26,20,35,24,22,29,27,26,311
Kerala,2006,Other Railway Accidents,4,21,29,12,15,20,19,14,21,29,12,15,211
Kerala,2007,Road Accidents,1501,2486,4064,7433,5865,7854,7083,3575,2486,4064,7433,5865,59709
Kerala,2007,Rail-Road Accidents,8,6,2,0,0,1,4,4,6,2,0,0,33
Kerala,2007,Other Railway Accidents,14,36,63,42,40,52,52,36,36,63,42,40,516
Kerala,2008,Road Accidents,836,1356,4278,6871,6077,8426,6768,2626,1356,4278,6871,6077,55820
Kerala,2008,Rail-Road Accidents,0,0,5,4,1,3,5,0,0,5,4,1,28
Kerala,2008,Other Railway Accidents,33,58,86,61,69,74,87,45,58,86,61,69,787
Kerala,2009,Road Accidents,664,1283,4468,6606,5648,7755,6762,2271,1283,4468,6606,5648,53462
Kerala,2009,Rail-Road Accidents,0,3,7,8,4,8,12,6,3,7,8,4,70
Kerala,2009,Other Railway Accidents,31,59,70,58,44,59,73,50,59,70,58,44,675
Kerala,2010,Road Accidents,892,1271,4127,6328,5380,7838,6864,2382,1271,4127,6328,5380,52188
Kerala,2010,Rail-Road Accidents,0,6,8,5,6,12,14,5,6,8,5,6,81
Kerala,2010,Other Railway Accidents,27,56,62,49,44,54,94,46,56,62,49,44,643
Kerala,2011,Road Accidents,595,1265,5051,6119,6393,8071,6335,1387,1265,5051,6119,6393,54044
Kerala,2011,Rail-Road Accidents,1,8,8,4,4,7,10,4,8,8,4,4,70
Kerala,2011,Other Railway Accidents,27,50,45,31,36,54,81,66,50,45,31,36,552
Kerala,2012,Road Accidents,583,785,3720,6795,6091,8075,7359,2766,785,3720,6795,6091,53565
Kerala,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,2012,Other Railway Accidents,29,67,108,68,58,80,75,52,67,108,68,58,838
Madhya Pradesh,2001,Road Accidents,1418,1740,2938,3323,2906,2875,2744,1768,1740,2938,3323,2906,30619
Madhya Pradesh,2001,Rail-Road Accidents,17,20,23,18,16,13,13,12,20,23,18,16,209
Madhya Pradesh,2001,Other Railway Accidents,101,151,165,170,138,104,135,106,151,165,170,138,1694
Madhya Pradesh,2002,Road Accidents,1467,2182,3107,3801,3325,3323,3340,2334,2182,3107,3801,3325,35294
Madhya Pradesh,2002,Rail-Road Accidents,3,4,13,11,12,15,22,4,4,13,11,12,124
Madhya Pradesh,2002,Other Railway Accidents,119,135,190,144,144,137,124,128,135,190,144,144,1734
Madhya Pradesh,2003,Road Accidents,1872,2165,3138,3798,3397,3128,2896,2222,2165,3138,3798,3397,35114
Madhya Pradesh,2003,Rail-Road Accidents,7,11,12,6,15,11,5,4,11,12,6,15,115
Madhya Pradesh,2003,Other Railway Accidents,102,151,180,170,192,181,168,118,151,180,170,192,1955
Madhya Pradesh,2004,Road Accidents,1443,1828,3043,4301,3657,3734,3367,2218,1828,3043,4301,3657,36420
Madhya Pradesh,2004,Rail-Road Accidents,0,2,6,3,3,4,0,0,2,6,3,3,32
Madhya Pradesh,2004,Other Railway Accidents,69,172,201,180,156,178,163,142,172,201,180,156,1970
Madhya Pradesh,2005,Road Accidents,1504,1770,2906,3504,3504,3245,3012,2029,1770,2906,3504,3504,33158
Madhya Pradesh,2005,Rail-Road Accidents,1,1,14,9,13,12,2,1,1,14,9,13,90
Madhya Pradesh,2005,Other Railway Accidents,94,139,187,179,170,172,162,161,139,187,179,170,1939
Madhya Pradesh,2006,Road Accidents,1652,1719,3541,4160,4198,3875,3522,2371,1719,3541,4160,4198,38656
Madhya Pradesh,2006,Rail-Road Accidents,2,8,11,15,13,14,7,2,8,11,15,13,119
Madhya Pradesh,2006,Other Railway Accidents,164,195,292,254,239,248,208,195,195,292,254,239,2775
Madhya Pradesh,2007,Road Accidents,1867,1927,3574,4901,4971,4345,3964,2895,1927,3574,4901,4971,43817
Madhya Pradesh,2007,Rail-Road Accidents,4,7,10,3,7,3,4,4,7,10,3,7,69
Madhya Pradesh,2007,Other Railway Accidents,120,141,232,195,208,199,194,183,141,232,195,208,2248
Madhya Pradesh,2008,Road Accidents,2307,2370,4316,5946,5873,5516,4808,3180,2370,4316,5946,5873,52821
Madhya Pradesh,2008,Rail-Road Accidents,6,4,4,3,4,4,3,4,4,4,3,4,47
Madhya Pradesh,2008,Other Railway Accidents,160,194,226,220,218,199,222,160,194,226,220,218,2457
Madhya Pradesh,2009,Road Accidents,2275,2408,3807,5467,4996,5157,4896,3326,2408,3807,5467,4996,49010
Madhya Pradesh,2009,Rail-Road Accidents,30,12,16,13,18,11,13,2,12,16,13,18,174
Madhya Pradesh,2009,Other Railway Accidents,183,153,209,190,201,210,196,172,153,209,190,201,2267
Madhya Pradesh,2010,Road Accidents,1970,2125,3344,4994,4766,4686,4888,3354,2125,3344,4994,4766,45356
Madhya Pradesh,2010,Rail-Road Accidents,4,7,10,15,11,9,5,1,7,10,15,11,105
Madhya Pradesh,2010,Other Railway Accidents,167,201,306,261,234,238,188,202,201,306,261,234,2799
Madhya Pradesh,2011,Road Accidents,2083,2248,3698,4833,4896,4999,4463,3353,2248,3698,4833,4896,46248
Madhya Pradesh,2011,Rail-Road Accidents,7,8,11,6,4,3,13,3,8,11,6,4,84
Madhya Pradesh,2011,Other Railway Accidents,160,184,253,245,209,199,179,186,184,253,245,209,2506
Madhya Pradesh,2012,Road Accidents,1664,1873,3785,5082,4969,5035,4240,2525,1873,3785,5082,4969,44882
Madhya Pradesh,2012,Rail-Road Accidents,45,40,39,40,43,35,35,12,40,39,40,43,451
Madhya Pradesh,2012,Other Railway Accidents,209,257,344,266,261,240,198,199,257,344,266,261,3102
Maharashtra,2001,Road Accidents,3483,3893,3986,5088,5099,5185,5335,5200,3893,3986,5088,5099,55335
Maharashtra,2001,Rail-Road Accidents,2,3,7,4,3,4,3,3,3,7,4,3,46
Maharashtra,2001,Other Railway Accidents,515,412,1070,1354,999,975,1168,958,412,1070,1354,999,11286
Maharashtra,2002,Road Accidents,3411,3412,4533,5744,5622,5812,5796,5231,3412,4533,5744,5622,58872
Maharashtra,2002,Rail-Road Accidents,9,6,12,9,9,4,13,4,6,12,9,9,102
Maharashtra,2002,Other Railway Accidents,465,335,1067,1383,1006,1001,1068,972,335,1067,1383,1006,11088
Maharashtra,2003,Road Accidents,3698,4029,4966,5926,6287,6261,6494,5361,4029,4966,5926,6287,64230
Maharashtra,2003,Rail-Road Accidents,6,3,9,12,11,5,6,3,3,9,12,11,90
Maharashtra,2003,Other Railway Accidents,476,426,1128,1361,1056,1008,1216,959,426,1128,1361,1056,11601
Maharashtra,2004,Road Accidents,4082,4352,5077,6115,6380,6559,6542,5432,4352,5077,6115,6380,66463
Maharashtra,2004,Rail-Road Accidents,4,5,7,6,4,4,9,7,5,7,6,4,68
Maharashtra,2004,Other Railway Accidents,428,336,1215,1415,971,1009,1311,1011,336,1215,1415,971,11633
Maharashtra,2005,Road Accidents,4140,4207,5212,6631,6737,6760,7058,5841,4207,5212,6631,6737,69373
Maharashtra,2005,Rail-Road Accidents,2,7,5,9,8,6,4,1,7,5,9,8,71
Maharashtra,2005,Other Railway Accidents,490,374,1112,1430,914,966,1223,986,374,1112,1430,914,11325
Maharashtra,2006,Road Accidents,4653,4724,5569,6498,6735,7013,7393,6302,4724,5569,6498,6735,72413
Maharashtra,2006,Rail-Road Accidents,1,0,3,0,0,4,5,0,0,3,0,0,16
Maharashtra,2006,Other Railway Accidents,517,384,1194,1494,1070,1065,1350,1136,384,1194,1494,1070,12352
Maharashtra,2007,Road Accidents,5132,4797,5580,7168,7385,7378,7714,6821,4797,5580,7168,7385,76905
Maharashtra,2007,Rail-Road Accidents,7,7,7,7,8,5,6,5,7,7,7,8,81
Maharashtra,2007,Other Railway Accidents,511,413,1253,1581,1120,1136,1407,1100,413,1253,1581,1120,12888
Maharashtra,2008,Road Accidents,4349,4633,5669,6911,7019,7070,7610,6418,4633,5669,6911,7019,73911
Maharashtra,2008,Rail-Road Accidents,0,0,0,0,0,1,0,0,0,0,0,0,1
Maharashtra,2008,Other Railway Accidents,558,389,1191,1547,1038,1120,1434,1143,389,1191,1547,1038,12585
Maharashtra,2009,Road Accidents,4400,4469,5451,6974,6718,7046,7592,6215,4469,5451,6974,6718,72477
Maharashtra,2009,Rail-Road Accidents,0,2,6,0,4,3,1,0,2,6,0,4,28
Maharashtra,2009,Other Railway Accidents,544,405,1085,1433,1190,1112,1276,1181,405,1085,1433,1190,12339
Maharashtra,2010,Road Accidents,4324,4585,5658,7050,7233,7583,7836,6350,4585,5658,7050,7233,75145
Maharashtra,2010,Rail-Road Accidents,0,2,4,5,2,5,4,3,2,4,5,2,38
Maharashtra,2010,Other Railway Accidents,581,420,1079,1457,1114,1190,1337,1191,420,1079,1457,1114,12439
Maharashtra,2011,Road Accidents,4334,4739,5489,6610,6677,7048,6883,5340,4739,5489,6610,6677,70635
Maharashtra,2011,Rail-Road Accidents,5,8,6,5,4,6,10,9,8,6,5,4,76
Maharashtra,2011,Other Railway Accidents,618,455,1078,1466,1181,1236,1328,1222,455,1078,1466,1181,12764
Maharashtra,2012,Road Accidents,4125,4655,5239,6093,6176,6857,6668,5434,4655,5239,6093,6176,67410
Maharashtra,2012,Rail-Road Accidents,8,8,8,3,2,3,5,1,8,8,3,2,59
Maharashtra,2012,Other Railway Accidents,581,465,1169,1474,1135,1235,1397,1108,465,1169,1474,1135,12807
Manipur,2001,Road Accidents,0,7,82,111,87,87,34,2,7,82,111,87,697
Manipur,2001,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2001,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2002,Road Accidents,0,0,65,161,126,142,21,5,0,65,161,126,872
Manipur,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2002,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2003,Road Accidents,1,18,73,136,92,134,56,13,18,73,136,92,842
Manipur,2003,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2003,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2004,Road Accidents,0,10,50,129,86,115,64,14,10,50,129,86,743
Manipur,2004,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2004,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2005,Road Accidents,13,26,89,110,113,115,103,31,26,89,110,113,938
Manipur,2005,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2005,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2006,Road Accidents,7,27,69,129,114,89,68,18,27,69,129,114,860
Manipur,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2006,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2007,Road Accidents,6,27,70,146,125,89,57,18,27,70,146,125,906
Manipur,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2007,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2008,Road Accidents,11,26,99,134,100,79,41,12,26,99,134,100,861
Manipur,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2008,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2009,Road Accidents,14,24,113,83,93,138,75,38,24,113,83,93,891
Manipur,2009,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2009,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2010,Road Accidents,27,47,75,124,130,116,59,24,47,75,124,130,978
Manipur,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2010,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2011,Road Accidents,26,52,91,123,153,107,105,34,52,91,123,153,1110
Manipur,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2011,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2012,Road Accidents,54,75,96,143,126,121,100,56,75,96,143,126,1211
Manipur,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
